track_name,size_bytes,price,rating_count_tot,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,currency_USD,cont_rating_12+,cont_rating_17+,cont_rating_4+,cont_rating_9+,prime_genre_Book,prime_genre_Business,prime_genre_Catalogs,prime_genre_Education,prime_genre_Entertainment,prime_genre_Finance,prime_genre_Food & Drink,prime_genre_Games,prime_genre_Health & Fitness,prime_genre_Lifestyle,prime_genre_Medical,prime_genre_Music,prime_genre_Navigation,prime_genre_News,prime_genre_Photo & Video,prime_genre_Productivity,prime_genre_Reference,prime_genre_Shopping,prime_genre_Social Networking,prime_genre_Sports,prime_genre_Travel,prime_genre_Utilities,prime_genre_Weather,user_rating
PAC-MAN Premium,-0.2738061526,0.3881256942,0.1109023233,0.1707532213,0.6510506681,0.5764707749,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Evernote - stay organized,-0.1129114784,-0.2959602425,1.956476694,-0.09680848864,0.6510506681,2.218083381,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"WeatherBug - Local Weather, Radar, Maps, Alerts",-0.2745416907,-0.2959602425,2.319826666,-0.09680848864,0.6510506681,-0.3074744745,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"eBay: Best App to Buy, Sell, Save! Online Shopping",-0.1966202711,-0.2959602425,3.292413052,-0.09680848864,0.6510506681,0.4501928821,0.08364175006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
Bible,-0.2961174737,-0.2959602425,12.84793104,-0.09680848864,0.6510506681,4.996197022,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
Shanghai Mahjong,-0.5252177537,-0.1262246341,-0.06126572214,2.578808611,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
PayPal - Send and request money safely,0.07979664231,-0.2959602425,1.407477308,-0.09680848864,-1.866741733,1.71297181,0.08364175006,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Pandora - Music & Radio,-0.1918022117,-0.2959602425,14.70916545,-0.09680848864,0.1474921879,-0.56003026,0.08364175006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
PCalc - The Best Calculator,-0.4172930927,1.416826351,-0.1554900624,-0.09680848864,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Ms. PAC-MAN,-0.3594592746,0.3881256942,-0.06612482489,0.1707532213,-1.866741733,0.5764707749,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Solitaire by MobilityWare,-0.4162667605,0.5595758037,0.8427782667,0.1707532213,0.1474921879,0.7027486677,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SCRABBLE Premium,0.07910386809,1.073926132,1.226436118,-0.09680848864,-1.866741733,0.07135920382,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Google – Search made just for mobile,-0.05333004466,-0.2959602425,6.160326796,-0.09680848864,0.1474921879,3.480862309,0.08364175006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Bank of America - Mobile Banking,-0.1063771636,-0.2959602425,1.411253676,-0.09680848864,-1.866741733,-0.4337523673,0.08364175006,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FreeCell,-0.4008575233,0.5595758037,-0.08652513399,0.1707532213,0.6510506681,-0.4337523673,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
TripAdvisor Hotels Flights Restaurants,0.0244260214,-0.2959602425,0.5717512476,-0.09680848864,-1.363183253,2.596917059,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
Facebook,0.5310549438,-0.2959602425,39.10763143,-0.09680848864,-1.363183253,2.975750738,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
"Yelp - Nearby Restaurants, Shopping & Services",-0.08833082279,-0.2959602425,2.785957223,-0.09680848864,0.6510506681,1.586693917,0.08364175006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
"Shazam - Discover music, artists, videos & lyrics",-0.1448874276,-0.2959602425,5.150016343,-0.09680848864,-0.3560662923,1.334138132,0.08364175006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Crash Bandicoot Nitro Kart 3D,-0.5245236404,0.2166755848,0.2451086286,2.578808611,-1.866741733,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
iQuran,-0.3575528648,0.04522547531,-0.131564263,1.508561771,-1.866741733,-0.4337523673,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
:) Sudoku +,-0.5372342621,0.2166755848,-0.01909187927,0.7058766412,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Yahoo Sports - Teams, Scores, News & Highlights",-0.1908528544,-0.2959602425,1.651277507,-0.09680848864,-0.8596247725,0.07135920382,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
Mileage Log | Fahrtenbuch,-0.3561721607,0.7310259131,-0.1701333911,-0.09680848864,0.6510506681,-0.3074744745,0.08364175006,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Cleartune - Chromatic Tuner,-0.5226082268,0.3881256942,-0.1274445889,1.508561771,-0.8596247725,0.5764707749,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Lifesum – Inspiring healthy lifestyle app,-0.03095030137,-0.2959602425,-0.09372135953,-0.09680848864,0.6510506681,0.7027486677,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Hangman.,-0.5411428772,-0.2959602425,0.388504976,0.1707532213,-1.866741733,-0.56003026,0.08364175006,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
iTranslate - Language Translator & Dictionary,0.2472256313,-0.2959602425,1.456702132,-0.09680848864,0.6510506681,2.218083381,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
TouchOSC,-0.5425398293,0.5595758037,-0.1599134304,1.508561771,-1.363183253,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
RadarScope,-0.0733948387,1.416826351,-0.1246981395,-0.09680848864,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
LinkedIn,0.2079997858,-0.2959602425,0.7785536043,-0.09680848864,-0.8596247725,2.218083381,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
Period Tracker Deluxe,-0.4424439329,0.04522547531,0.006035491741,0.1707532213,-1.866741733,1.207860239,0.08364175006,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Election 2016 Map,-0.5477655706,-0.1262246341,-0.1684300643,-0.09680848864,-1.363183253,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Blackjack by MobilityWare,-0.260880069,-0.2959602425,2.207644772,-0.09680848864,0.6510506681,-0.05491868895,0.08364175006,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
White Noise,-0.4315505572,-0.1262246341,0.2711206732,-0.09680848864,0.6510506681,-0.3074744745,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
iHeartRadio – Free Music & Radio Stations,-0.2302212462,-0.2959602425,3.701567989,-0.09680848864,0.6510506681,-0.4337523673,0.08364175006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Line Rider iRide™,-0.5498267877,0.04522547531,0.1150880178,0.7058766412,-1.866741733,-0.56003026,0.08364175006,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Deliveries: a package tracker,-0.470841974,0.5595758037,-0.1083910964,-0.09680848864,0.1474921879,0.4501928821,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
Hurricane Pro,-0.4722275224,0.2166755848,-0.1424576319,-0.09680848864,-1.866741733,-0.56003026,0.08364175006,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Fieldrunners,-0.3682315637,0.2166755848,0.379486587,-0.09680848864,-1.866741733,-0.56003026,0.08364175006,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Juxtaposer,-0.4284886662,0.2166755848,-0.1225722821,-0.09680848864,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
Deezer - Listen to your Favorite Music & Playlists,-0.1995196595,-0.2959602425,-0.1084835249,-0.09680848864,0.6510506681,1.965527595,0.08364175006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
iStellar,-0.4312369557,0.3881256942,-0.1698429012,-0.09680848864,-1.866741733,-0.4337523673,-11.95575175,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Sonos Controller,-0.2537727187,-0.2959602425,0.4755066826,-0.09680848864,0.1474921879,0.8290265604,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Avertinoo,-0.5320142226,0.5595758037,-0.1698164931,0.1707532213,0.6510506681,0.1976370966,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
Google Earth,-0.4508028383,-0.2959602425,5.721224998,1.508561771,0.6510506681,3.10202863,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
iFart - The Original Fart Sounds App,-0.3864717673,0.04522547531,0.1179400999,-0.09680848864,0.6510506681,-0.56003026,0.08364175006,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PAC-MAN,-0.2736350972,-0.2959602425,6.548104322,0.1707532213,0.6510506681,0.5764707749,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FOX Sports Mobile,-0.3518729692,-0.2959602425,0.5889957807,-0.09680848864,-1.866741733,-0.56003026,-11.95575175,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
First Words Animals,-0.4648607382,0.04522547531,-0.1362253045,0.1707532213,0.6510506681,-0.56003026,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
WeatherPro,-0.3620878253,0.04522547531,-0.1494822044,-0.09680848864,-1.866741733,0.9553044532,0.08364175006,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
HotSchedules,-0.3260093984,0.2166755848,-0.1267711807,-0.09680848864,-0.8596247725,-0.4337523673,0.08364175006,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Star Walk - Find Stars And Planets in Sky Above,-0.1362519827,0.5595758037,-0.05230014941,-0.09680848864,-1.866741733,0.8290265604,0.08364175006,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
